animal,timestep,roi,side,value
1,0,aif,re,2199.834473
1,1,aif,re,2165.12793
1,2,aif,re,2201.852295
1,3,aif,re,2140.914062
1,4,aif,re,2218.802246
1,5,aif,re,2209.923584
1,6,aif,re,2090.871826
1,7,aif,re,2151.00293
1,8,aif,re,2164.320801
1,9,aif,re,2153.020996
1,10,aif,re,2226.469727
1,11,aif,re,2164.724121
1,12,aif,re,2175.620605
1,13,aif,re,2208.712891
1,14,aif,re,1806.761475
1,15,aif,re,1117.068726
1,16,aif,re,742.963745
1,17,aif,re,1038.373657
1,18,aif,re,1477.452637
1,19,aif,re,1760.755249
1,20,aif,re,1841.064819
1,21,aif,re,1759.948242
1,22,aif,re,1583.993896
1,23,aif,re,1557.762085
1,24,aif,re,1547.672852
1,25,aif,re,1594.890259
1,26,aif,re,1710.713257
1,27,aif,re,1802.32251
1,28,aif,re,1788.197998
1,29,aif,re,1722.820312
1,30,aif,re,1682.060181
1,31,aif,re,1690.131592
1,32,aif,re,1816.043945
1,33,aif,re,1829.765015
1,34,aif,re,1834.204346
1,35,aif,re,1831.782959
1,36,aif,re,1804.743896
1,37,aif,re,1843.889893
1,38,aif,re,1855.996826
1,39,aif,re,1835.818604
2,0,aif,re,2121.193604
2,1,aif,re,2169.110352
2,2,aif,re,2150.411133
2,3,aif,re,2200.665283
2,4,aif,re,2134.049316
2,5,aif,re,2089.638672
2,6,aif,re,2166.772949
2,7,aif,re,1996.142456
2,8,aif,re,2148.07373
2,9,aif,re,2198.327881
2,10,aif,re,2165.604248
2,11,aif,re,2255.594238
2,12,aif,re,2107.169189
2,13,aif,re,2128.205811
2,14,aif,re,2166.772949
2,15,aif,re,2172.616455
2,16,aif,re,1441.009155
2,17,aif,re,722.257629
2,18,aif,re,577.338623
2,19,aif,re,596.037842
2,20,aif,re,876.526245
2,21,aif,re,1070.530762
2,22,aif,re,1342.838135
2,23,aif,re,1756.558594
2,24,aif,re,1631.507568
2,25,aif,re,1730.847168
2,26,aif,re,1659.556396
2,27,aif,re,1484.251099
2,28,aif,re,1501.781616
2,29,aif,re,1417.635132
2,30,aif,re,1708.641846
2,31,aif,re,1596.446411
2,32,aif,re,1799.800537
2,33,aif,re,1608.133423
2,34,aif,re,1699.292236
2,35,aif,re,1667.737305
2,36,aif,re,1788.113525
2,37,aif,re,1726.172363
2,38,aif,re,1717.991455
2,39,aif,re,1698.123535
3,0,aif,re,1421.121826
3,1,aif,re,1394.052856
3,2,aif,re,1394.955078
3,3,aif,re,1354.351685
3,4,aif,re,1456.311523
3,5,aif,re,1441.874756
3,6,aif,re,1333.598755
3,7,aif,re,1385.932129
3,8,aif,re,1361.570068
3,9,aif,re,1429.242554
3,10,aif,re,1420.219482
3,11,aif,re,1441.874756
3,12,aif,re,1383.22522
3,13,aif,re,1039.449097
3,14,aif,re,364.529022
3,15,aif,re,261.66687
3,16,aif,re,323.925537
3,17,aif,re,665.897095
3,18,aif,re,1089.075562
3,19,aif,re,1089.075562
3,20,aif,re,828.310974
3,21,aif,re,581.080933
3,22,aif,re,588.299316
3,23,aif,re,744.397156
3,24,aif,re,862.598389
3,25,aif,re,915.834045
3,26,aif,re,922.150146
3,27,aif,re,884.253601
3,28,aif,re,889.667358
3,29,aif,re,885.155884
3,30,aif,re,925.759399
3,31,aif,re,1001.55249
3,32,aif,re,946.512207
3,33,aif,re,926.661621
3,34,aif,re,1054.788208
3,35,aif,re,959.144409
3,36,aif,re,1081.857178
3,37,aif,re,1037.644531
3,38,aif,re,1081.857178
3,39,aif,re,1051.178955
4,0,aif,re,2192.713623
4,1,aif,re,2095.747559
4,2,aif,re,2193.628418
4,3,aif,re,2142.401123
4,4,aif,re,2082.025879
4,5,aif,re,2243.026123
4,6,aif,re,2075.622559
4,7,aif,re,2106.724854
4,8,aif,re,2132.338379
4,9,aif,re,2243.026123
4,10,aif,re,2013.417847
4,11,aif,re,2259.492188
4,12,aif,re,2112.213379
4,13,aif,re,1831.377808
4,14,aif,re,933.06958
4,15,aif,re,560.756531
4,16,aif,re,693.398804
4,17,aif,re,1095.899414
4,18,aif,re,1704.224243
4,19,aif,re,1719.775391
4,20,aif,re,1394.115723
4,21,aif,re,1161.763184
4,22,aif,re,1172.740479
4,23,aif,re,1259.644043
4,24,aif,re,1425.21814
4,25,aif,re,1543.223999
4,26,aif,re,1507.547729
4,27,aif,re,1416.070312
4,28,aif,re,1473.701172
4,29,aif,re,1441.684082
4,30,aif,re,1602.684326
4,31,aif,re,1624.638916
4,32,aif,re,1651.167358
4,33,aif,re,1601.769531
4,34,aif,re,1590.792236
4,35,aif,re,1705.139038
4,36,aif,re,1779.235718
4,37,aif,re,1651.167236
4,38,aif,re,1692.332153
4,39,aif,re,1806.678955
5,0,aif,re,1811.055786
5,1,aif,re,1658.991943
5,2,aif,re,1738.763184
5,3,aif,re,1787.373779
5,4,aif,re,1743.748901
5,5,aif,re,1728.791748
5,6,aif,re,1697.631104
5,7,aif,re,1784.880859
5,8,aif,re,1650.266968
5,9,aif,re,1707.602539
5,10,aif,re,1727.545288
5,11,aif,re,1705.109619
5,12,aif,re,1614.120605
5,13,aif,re,1743.748779
5,14,aif,re,1772.416626
5,15,aif,re,1733.777466
5,16,aif,re,1358.603516
5,17,aif,re,532.223572
5,18,aif,re,316.59201
5,19,aif,re,330.302673
5,20,aif,re,437.495239
5,21,aif,re,675.562439
5,22,aif,re,1030.793701
5,23,aif,re,1225.235962
5,24,aif,re,1376.053467
5,25,aif,re,1518.145874
5,26,aif,re,1540.581543
5,27,aif,re,1501.942383
5,28,aif,re,1363.589111
5,29,aif,re,1346.139282
5,30,aif,re,1147.957642
5,31,aif,re,1217.757446
5,32,aif,re,1181.611084
5,33,aif,re,1235.207397
5,34,aif,re,1286.310791
5,35,aif,re,1237.700195
5,36,aif,re,1398.489136
5,37,aif,re,1454.578247
5,38,aif,re,1571.742188
5,39,aif,re,1570.495728
6,0,aif,re,1860.752441
6,1,aif,re,2000.841797
6,2,aif,re,1903.388306
6,3,aif,re,1896.282349
6,4,aif,re,1958.205933
6,5,aif,re,1950.084717
6,6,aif,re,2021.144531
6,7,aif,re,1940.948486
6,8,aif,re,1914.55481
6,9,aif,re,2062.765381
6,10,aif,re,1947.039307
6,11,aif,re,1960.236206
6,12,aif,re,1967.342163
6,13,aif,re,1512.559204
6,14,aif,re,765.415894
6,15,aif,re,778.612732
6,16,aif,re,1313.591675
6,17,aif,re,1882.070312
6,18,aif,re,1836.389038
6,19,aif,re,1708.481323
