animal,timestep,roi,side,value
1,0,aif,re,2199.834473
1,1,aif,re,2165.12793
1,2,aif,re,2201.852295
1,3,aif,re,2140.914062
1,4,aif,re,2218.802246
1,5,aif,re,2209.923584
1,6,aif,re,2090.871826
1,7,aif,re,2151.00293
1,8,aif,re,2164.320801
1,9,aif,re,2153.020996
1,10,aif,re,2226.469727
1,11,aif,re,2164.724121
1,12,aif,re,2175.620605
1,13,aif,re,2208.712891
1,14,aif,re,1806.761475
1,15,aif,re,1117.068726
1,16,aif,re,742.963745
1,17,aif,re,1038.373657
1,18,aif,re,1477.452637
1,19,aif,re,1760.755249
1,20,aif,re,1841.064819
1,21,aif,re,1759.948242
1,22,aif,re,1583.993896
1,23,aif,re,1557.762085
1,24,aif,re,1547.672852
1,25,aif,re,1594.890259
1,26,aif,re,1710.713257
1,27,aif,re,1802.32251
1,28,aif,re,1788.197998
1,29,aif,re,1722.820312
1,30,aif,re,1682.060181
1,31,aif,re,1690.131592
1,32,aif,re,1816.043945
1,33,aif,re,1829.765015
1,34,aif,re,1834.204346
1,35,aif,re,1831.782959
1,36,aif,re,1804.743896
1,37,aif,re,1843.889893
1,38,aif,re,1855.996826
1,39,aif,re,1835.818604
1,0,aif,li,2174.544434
1,1,aif,li,2151.003174
1,2,aif,li,2064.908936
1,3,aif,li,2056.837891
1,4,aif,li,2140.914062
1,5,aif,li,2150.330566
1,6,aif,li,2134.860352
1,7,aif,li,2063.564209
1,8,aif,li,2097.19458
1,9,aif,li,2050.784424
1,10,aif,li,2246.513428
1,11,aif,li,2067.599365
1,12,aif,li,2083.069824
1,13,aif,li,2091.813721
1,14,aif,li,1604.844727
1,15,aif,li,817.219727
1,16,aif,li,718.346252
1,17,aif,li,785.607178
1,18,aif,li,1346.562988
1,19,aif,li,1685.557739
1,20,aif,li,1792.502563
1,21,aif,li,1731.295288
1,22,aif,li,1632.421509
1,23,aif,li,1332.43811
1,24,aif,li,1364.723389
1,25,aif,li,1567.851196
1,26,aif,li,1616.95166
1,27,aif,li,1574.577271
1,28,aif,li,1655.290161
1,29,aif,li,1666.724731
1,30,aif,li,1633.766968
1,31,aif,li,1692.956543
1,32,aif,li,1704.390747
1,33,aif,li,1651.254517
1,34,aif,li,1721.206055
1,35,aif,li,1777.032593
1,36,aif,li,1769.633789
1,37,aif,li,1744.074829
1,38,aif,li,1801.919067
1,39,aif,li,1801.919067
1,0,gs,re,2249.203857
1,1,gs,re,2243.822998
1,2,gs,re,2221.810059
1,3,gs,re,2215.94043
1,4,gs,re,2247.002686
1,5,gs,re,2216.918457
1,6,gs,re,2247.736572
1,7,gs,re,2250.91626
1,8,gs,re,2210.804199
1,9,gs,re,2216.184814
1,10,gs,re,2231.593994
1,11,gs,re,2240.888184
1,12,gs,re,2243.823242
1,13,gs,re,2226.702148
1,14,gs,re,2235.507324
1,15,gs,re,2037.393433
1,16,gs,re,1868.140503
1,17,gs,re,1871.564575
1,18,gs,re,2031.278931
1,19,gs,re,2149.168701
1,20,gs,re,2187.568115
1,21,gs,re,2142.564453
1,22,gs,re,2159.686035
1,23,gs,re,2114.927002
1,24,gs,re,2102.697754
1,25,gs,re,2134.00415
1,26,gs,re,2170.937012
1,27,gs,re,2171.915283
1,28,gs,re,2145.500488
1,29,gs,re,2154.304932
1,30,gs,re,2179.497314
1,31,gs,re,2140.608398
1,32,gs,re,2156.01709
1,33,gs,re,2188.546875
1,34,gs,re,2200.04248
1,35,gs,re,2188.302246
1,36,gs,re,2181.209473
1,37,gs,re,2198.81958
1,38,gs,re,2181.209717
1,39,gs,re,2174.36084
1,0,gs,li,2183.288574
1,1,gs,li,2165.416016
1,2,gs,li,2142.16333
1,3,gs,li,2145.045654
1,4,gs,li,2127.749756
1,5,gs,li,2110.838867
1,6,gs,li,2132.939209
1,7,gs,li,2127.75
1,8,gs,li,2096.233643
1,9,gs,li,2116.988037
1,10,gs,li,2147.351807
1,11,gs,li,2140.241211
1,12,gs,li,2110.45459
1,13,gs,li,2173.103516
1,14,gs,li,2188.477051
1,15,gs,li,2034.929932
1,16,gs,li,1794.135742
1,17,gs,li,1867.546875
1,18,gs,li,1982.082031
1,19,gs,li,2080.283203
1,20,gs,li,2119.294189
1,21,gs,li,2059.913086
1,22,gs,li,2068.944824
1,23,gs,li,2008.410156
1,24,gs,li,2032.047607
1,25,gs,li,2043.578125
1,26,gs,li,2067.599609
1,27,gs,li,2032.624023
1,28,gs,li,2081.052002
1,29,gs,li,2048.958252
1,30,gs,li,2105.073975
1,31,gs,li,2065.869873
1,32,gs,li,2069.713623
1,33,gs,li,2065.293457
1,34,gs,li,2057.414551
1,35,gs,li,2092.197998
1,36,gs,li,2088.162109
1,37,gs,li,2100.845947
1,38,gs,li,2085.856201
1,39,gs,li,2083.741943
1,0,h,re,2127.315674
1,1,h,re,2179.603516
1,2,h,re,2080.291504
1,3,h,re,2116.436768
1,4,h,re,2150.827637
1,5,h,re,2137.843262
1,6,h,re,2097.486816
1,7,h,re,2105.909424
1,8,h,re,2104.505127
1,9,h,re,2130.473877
1,10,h,re,2144.160156
1,11,h,re,2134.333984
1,12,h,re,2100.99585
1,13,h,re,2116.436768
1,14,h,re,2142.756348
1,15,h,re,1961.327393
1,16,h,re,1725.504883
1,17,h,re,1619.876221
1,18,h,re,1800.953979
1,19,h,re,1953.958008
1,20,h,re,2060.288574
1,21,h,re,2079.5896
1,22,h,re,2005.89502
1,23,h,re,1994.665771
1,24,h,re,1981.3302
1,25,h,re,1950.799805
1,26,h,re,2024.494385
1,27,h,re,2012.913696
1,28,h,re,2032.214722
1,29,h,re,2037.478394
1,30,h,re,2050.813965
1,31,h,re,1962.731201
1,32,h,re,2044.49707
1,33,h,re,2036.776611
1,34,h,re,2055.375732
1,35,h,re,2062.043213
1,36,h,re,2111.875
1,37,h,re,2027.301514
1,38,h,re,2058.88501
1,39,h,re,2059.586914
1,0,h,li,2297.093994
1,1,h,li,2366.506836
1,2,h,li,2282.968994
1,3,h,li,2284.986816
1,4,h,li,2318.482666
1,5,h,li,2342.696533
1,6,h,li,2317.271973
1,7,h,li,2290.636963
1,8,h,li,2342.696777
1,9,h,li,2306.375488
1,10,h,li,2351.574951
1,11,h,li,2274.897705
1,12,h,li,2324.132568
1,13,h,li,2284.986816
1,14,h,li,2321.307617
1,15,h,li,2297.497559
1,16,h,li,2040.426147
1,17,h,li,2043.251343
1,18,h,li,1975.049072
1,19,h,li,2192.570557
1,20,h,li,2151.810059
1,21,h,li,2282.161621
